client_id,program_id,label,budget_level,profile_type_encoded,preferred_language,budget_numeric,price_normalized,duration_days,category_encoded,target_audience_encoded,visa_required,has_spa,has_pool,has_beach,has_flight,is_all_inclusive,hotel_stars,climate_encoded,is_religious,budget_match_score,audience_match,price_ratio,season_match,visa_obstacle
C0001,1,0.6405,0.0,5.0,0.0,3000.0,0.175,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.835,0.0,0.7,1.0,0.0
C0001,2,0.39976672938463764,0.0,5.0,0.0,3000.0,0.43333333333333335,7.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.19922243128212558,0.0,1.7333333333333334,1.0,0.0
C0001,3,0.4990745370124693,0.0,5.0,0.0,3000.0,0.26666666666666666,7.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.8635817900415642,0.0,1.0666666666666667,1.0,1.0
C0001,4,0.240588869395871,0.0,5.0,0.0,3000.0,0.9583333333333334,7.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0019628979862366743,0.0,3.8333333333333335,1.0,1.0
C0001,5,0.3601405905897551,0.0,5.0,0.0,3000.0,0.4,7.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.2671353019658503,0.0,1.6,1.0,1.0
C0001,6,0.558706276952241,0.0,5.0,0.0,3000.0,0.5166666666666667,15.0,4.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.09568758984080315,1.0,2.066666666666667,1.0,1.0
C0001,7,0.908,0.0,5.0,0.0,3000.0,0.21666666666666667,7.0,1.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,3.0,0.0,0.9266666666666666,1.0,0.8666666666666667,1.0,0.0
C0001,8,0.519,0.0,5.0,0.0,3000.0,0.23333333333333334,7.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.9633333333333334,0.0,0.9333333333333333,0.0,0.0
C0001,9,0.28986132510942386,0.0,5.0,0.0,3000.0,0.375,7.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.33287108369807955,0.0,1.5,0.0,0.0
C0001,10,0.7905,0.0,5.0,0.0,3000.0,0.175,7.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.835,1.0,0.7,1.0,1.0
C0001,11,0.797,0.0,5.0,0.0,3000.0,0.2,5.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.89,1.0,0.8,1.0,1.0
C0002,1,0.5416346153846153,1.0,2.0,0.0,5200.0,0.175,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.6721153846153847,0.0,0.40384615384615385,1.0,0.0
C0002,2,0.64,1.0,2.0,0.0,5200.0,0.43333333333333335,7.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
C0002,3,0.5265384615384615,1.0,2.0,0.0,5200.0,0.26666666666666666,7.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.7884615384615384,0.0,0.6153846153846154,1.0,1.0
C0002,4,0.3108717769095086,1.0,2.0,0.0,5200.0,0.9583333333333334,7.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,0.06957258969836208,0.0,2.2115384615384617,1.0,1.0
C0002,5,0.8773076923076922,1.0,2.0,0.0,5200.0,0.4,7.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.9576923076923077,1.0,0.9230769230769231,1.0,1.0
C0002,6,0.6865084733157321,1.0,2.0,0.0,5200.0,0.5166666666666667,15.0,4.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.6550282443857736,1.0,1.1923076923076923,1.0,1.0
C0002,7,0.9075,1.0,2.0,0.0,5200.0,0.21666666666666667,7.0,1.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,3.0,0.0,0.725,1.0,0.5,1.0,0.0
C0002,8,0.7638461538461537,1.0,2.0,0.0,5200.0,0.23333333333333334,7.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.7461538461538462,1.0,0.5384615384615384,0.0,0.0
C0002,9,0.5177884615384615,1.0,2.0,0.0,5200.0,0.375,7.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.9259615384615385,0.0,0.8653846153846154,0.0,0.0
C0002,10,0.6916346153846153,1.0,2.0,0.0,5200.0,0.175,7.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.6721153846153847,1.0,0.40384615384615385,1.0,1.0
C0002,11,0.7511538461538462,1.0,2.0,0.0,5200.0,0.2,5.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.7038461538461538,1.0,0.46153846153846156,1.0,1.0
C0003,1,0.6405,0.0,5.0,0.0,3000.0,0.175,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.835,0.0,0.7,1.0,0.0
C0003,2,0.39976672938463764,0.0,5.0,0.0,3000.0,0.43333333333333335,7.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.19922243128212558,0.0,1.7333333333333334,1.0,0.0
C0003,3,0.4990745370124693,0.0,5.0,0.0,3000.0,0.26666666666666666,7.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.8635817900415642,0.0,1.0666666666666667,1.0,1.0
C0003,4,0.240588869395871,0.0,5.0,0.0,3000.0,0.9583333333333334,7.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0019628979862366743,0.0,3.8333333333333335,1.0,1.0
C0003,5,0.3601405905897551,0.0,5.0,0.0,3000.0,0.4,7.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.2671353019658503,0.0,1.6,1.0,1.0
C0003,6,0.558706276952241,0.0,5.0,0.0,3000.0,0.5166666666666667,15.0,4.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.09568758984080315,1.0,2.066666666666667,1.0,1.0
C0003,7,0.908,0.0,5.0,0.0,3000.0,0.21666666666666667,7.0,1.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,3.0,0.0,0.9266666666666666,1.0,0.8666666666666667,1.0,0.0
C0003,8,0.519,0.0,5.0,0.0,3000.0,0.23333333333333334,7.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.9633333333333334,0.0,0.9333333333333333,0.0,0.0
C0003,9,0.28986132510942386,0.0,5.0,0.0,3000.0,0.375,7.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.33287108369807955,0.0,1.5,0.0,0.0
C0003,10,0.7905,0.0,5.0,0.0,3000.0,0.175,7.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.835,1.0,0.7,1.0,1.0
C0003,11,0.797,0.0,5.0,0.0,3000.0,0.2,5.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.89,1.0,0.8,1.0,1.0
C0004,1,0.5283076923076923,1.0,4.0,0.0,6500.0,0.175,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.6276923076923077,0.0,0.3230769230769231,1.0,0.0
C0004,2,0.907,1.0,4.0,0.0,6500.0,0.43333333333333335,7.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.89,1.0,0.8,1.0,0.0
